WORD_CLEAN,PART,TRIAL,WORD_FIXATION_COUNT,WORD_FIXATION_%,WORD_GAZE_DURATION,WORD_FIRST_FIXATION_DURATION,WORD_SECOND_FIXATION_DURATION,WORD_THIRD_FIXATION_DURATION,WORD_TOTAL_READING_TIME,WORD_TOTAL_READING_TIME_%,WORD_SKIP,WORD_SPILLOVER,WORD_RUN_COUNT
<?>,3.838709677419355,63.91935483870968,1.3427701330927142,0.016442747575005634,234.5150011279044,195.6107602075345,68.80554928942027,20.777577261448236,295.40773742386654,0.017278039702233263,0.26584705616963733,62.97529889465376,1.0982404692082128
A,2.2465753424657535,78.83561643835617,0.3082944452807466,0.003966814692157157,56.86030407948215,54.688920668372724,5.649932259521301,1.0029354207436398,61.341788348637664,0.0037614707210597616,0.764564202920367,21.397862411561043,0.29828390787294895
Abbey,2.0,164.0,1.0714285714285714,0.011907142857142856,249.14285714285714,160.78571428571428,90.42857142857143,12.428571428571429,263.64285714285717,0.014485714285714284,0.7142857142857143,36.857142857142854,0.7857142857142857
About,1.4285714285714286,108.28571428571429,0.9591836734693878,0.011496938775510206,164.98979591836732,139.24489795918367,46.132653061224495,5.785714285714286,193.82653061224488,0.011091836734693878,0.42857142857142855,62.92857142857142,0.826530612244898
Above,1.0,44.0,1.0,0.010892857142857143,152.71428571428572,144.21428571428572,32.142857142857146,7.428571428571429,183.78571428571428,0.009914285714285714,0.5,31.785714285714285,0.8571428571428571
Absolutely,1.0,97.0,2.0714285714285716,0.025592857142857143,281.7857142857143,157.0,161.85714285714286,73.78571428571429,404.42857142857144,0.02432142857142857,0.21428571428571427,26.214285714285715,1.5714285714285714
Accordingly,3.0,78.0,1.7142857142857142,0.01861428571428571,272.2857142857143,193.46428571428572,94.89285714285714,37.92857142857143,341.0,0.01771071428571428,0.25,13.678571428571429,1.25
Admirable,1.0,134.0,1.6071428571428572,0.019239285714285716,248.89285714285714,222.14285714285714,55.214285714285715,48.964285714285715,376.1428571428571,0.02106785714285714,0.07142857142857142,52.0,1.1785714285714284
Afraid,1.0,40.0,0.7857142857142857,0.00885,168.14285714285714,168.14285714285714,8.357142857142858,0.0,176.5,0.009757142857142857,0.42857142857142855,29.785714285714285,0.7857142857142857
After,2.789473684210526,70.78947368421052,1.0627530364372468,0.013427096587622905,200.2362637362637,182.00694042799304,42.88259109311742,6.8004626951995375,231.68999421630997,0.0138344997108155,0.29786003470213995,87.1602082128398,0.959514170040486
Afterwards,2.0,33.0,1.7857142857142858,0.02127142857142857,235.64285714285714,177.07142857142858,130.92857142857142,31.714285714285715,339.7142857142857,0.02119285714285715,0.14285714285714285,49.92857142857143,1.5
