WORD_CLEAN,WORD_FIXATION_COUNT,WORD_FIXATION_%,WORD_GAZE_DURATION,WORD_FIRST_FIXATION_DURATION,WORD_SECOND_FIXATION_DURATION,WORD_THIRD_FIXATION_DURATION,WORD_TOTAL_READING_TIME,WORD_TOTAL_READING_TIME_%,WORD_SKIP,WORD_SPILLOVER,WORD_RUN_COUNT
displeasure,1.428571429,0.016207143,293.7142857,248.1428571,93.64285714,14.85714286,367.7857143,0.019728571,0.071428571,0,1.142857143
disposes,2,0.022684615,335.6923077,253.2307692,114,67.69230769,451.2307692,0.025376923,0.153846154,26.46153846,1.461538462
disposition,1.266483516,0.015369231,265.021978,236.8461538,62.21428571,0,299.0604396,0.017318956,0.148351648,41.7032967,1.115384615
dispositions,2,0.029128571,344.7142857,282.2142857,117.7142857,38.57142857,452,0.033592857,0.071428571,48.5,1.5
disprove,1.5,0.015171429,260.1428571,200.6428571,119.3571429,10.35714286,330.3571429,0.015,0.071428571,74.92857143,1.142857143
disreputable,2.071428571,0.0321,360.6428571,215.6428571,178.4285714,100.0714286,559.5,0.040771429,0.142857143,0,1.142857143
dissent,1,0.014678571,137.7857143,114.1428571,49.78571429,0,163.9285714,0.011878571,0.357142857,54.07142857,0.857142857
dissimilar,1.714285714,0.024014286,341.2857143,274.7857143,82.5,43.28571429,447.2857143,0.030157143,0.071428571,128.2857143,1.285714286
dissolve,1.461538462,0.021815385,228.0769231,209.2307692,44.15384615,31.92307692,285.3076923,0.020576923,0,55,1.307692308
distance,1.5,0.015089286,253.3928571,216.7142857,73.03571429,28.5,318.25,0.014971429,0.142857143,79.85714286,1.25
distant,1.071428571,0.011535714,175.1428571,140.9285714,62.57142857,15.71428571,219.2142857,0.011457143,0.285714286,81.14285714,0.928571429
distinct,0.769230769,0.009253846,175.3076923,175.3076923,0,0,175.3076923,0.010446154,0.307692308,157.9230769,0.769230769
distinctive,1.846153846,0.023130769,281.6923077,227.2307692,90.46153846,37.07692308,369.6923077,0.023061538,0.076923077,196.4615385,1.461538462
distinctly,1.3,0.016335165,257.8230769,210.2813187,65.92197802,8.757142857,287.2318681,0.017322637,0.261538462,118.1164835,1.054945055
distracted,1.285714286,0.018207143,227.5,185.8571429,71.5,7.571428571,264.9285714,0.018271429,0.142857143,22.92857143,1.071428571
distress,1.190934066,0.015320467,196.7431319,169.6950549,46.21016484,8.517857143,234.0837912,0.01447761,0.26510989,59.04945055,0.953296703
distressed,1,0.014335714,196.7142857,185.7857143,30.78571429,0,216.5714286,0.015064286,0.214285714,32.85714286,0.928571429
distribution,1.5,0.018835714,289.6428571,148.7857143,82,42.85714286,328.7857143,0.020242857,0.357142857,0,0.785714286
distrusted,1.642857143,0.02045,256.7142857,195.9285714,96.42857143,61.07142857,395.7142857,0.022757143,0.142857143,45.35714286,1.285714286
disturbed,1.5,0.022028571,366.6428571,245.5,121.1428571,0,366.6428571,0.026128571,0.142857143,112.9285714,1
disturbing,1.5,0.015021429,201.3571429,192.1428571,92.57142857,26.28571429,311,0.014814286,0.142857143,27.21428571,1.285714286
divert,1.357142857,0.013742857,271.7857143,246.1428571,59.85714286,0,306,0.014207143,0.071428571,152.2142857,1.214285714
divided,0.917582418,0.010577198,178.1373626,171.7802198,16.07142857,6.428571429,215.4587912,0.012201648,0.406593407,53.05494505,0.81043956
do,0.513965201,0.006442697,98.04510073,94.8689168,11.90698587,2.128466771,109.5072279,0.006670261,0.685962847,18.73135793,0.493622449
dock,1,0.012212821,187.8974359,161.4615385,40.8974359,16.61538462,218.974359,0.01255641,0.461538462,24.87179487,0.846153846
doctor,1.060150376,0.013517206,186.7738577,171.2683632,32.4664546,9.293233083,215.377675,0.013196154,0.301908618,65.2070561,0.950838635
doctors,1.180819181,0.014580619,194.464036,164.952048,55.52597403,12.46253746,235.6193806,0.014108641,0.334165834,90.83316683,1.001998002
document,1.231456044,0.01630103,222.3523352,193.8997253,53.15590659,14.51785714,261.7967033,0.016584821,0.248626374,57.37637363,1.022664835
does,0.851820055,0.010317891,158.6852679,145.502919,32.9946772,4.563186813,184.2683723,0.010800172,0.506353022,33.25755495,0.777472527
doesnt,1.29010989,0.013950659,211.389011,183.5747253,60.36043956,7.350549451,252.4,0.013593736,0.216483516,89.79010989,1.09010989
dog,0.654945055,0.007938571,133.0032967,133.0032967,17.87582418,1.430769231,152.3098901,0.008674615,0.476923077,86.46153846,0.654945055
doing,0.819103973,0.010046407,142.2138631,133.147929,32.2967033,2.450549451,167.8951817,0.009955452,0.450549451,45.45266272,0.753169907
doings,1.071428571,0.013528571,268.2142857,233.7857143,34.42857143,0,268.2142857,0.015857143,0.214285714,64.21428571,0.928571429
domestic,0.928571429,0.015707143,120.7857143,120.7857143,27.64285714,16.14285714,173.2142857,0.013028571,0.285714286,130,0.857142857
